path_pattern,owner,file_class,lifecycle,reason,disposition
projects/prostate_biomarker_validation/code/legacy/*,prostate_biomarker_validation,legacy_code,legacy,historical scripts and frozen provenance paths,no new files; extract tested active code instead
projects/prostate_biomarker_validation/docs/study_design/*,prostate_biomarker_validation,legacy_document,legacy,pre-Codex numbered narrative and review notes,no new files; move to docs/legacy only in a dedicated provenance-preserving migration
projects/prostate_biomarker_validation/docs/CODE_AVAILABILITY.md,prostate_biomarker_validation,protocol,frozen,publication contract filename,preserve path
projects/prostate_biomarker_validation/docs/RUN_REPRODUCTION.md,prostate_biomarker_validation,protocol,frozen,reproduction contract referenced by provenance,preserve path
projects/prostate_biomarker_validation/paper/*,prostate_biomarker_validation,manuscript_source,frozen_or_generated,submission configuration and saved provenance own exact paths,route new revision notes to paper/revision
projects/quantitative_foundation_model_validation/preexperiment/*,quantitative_foundation_model_validation,governance_record,frozen,P0 audit unit and clean-rerun provenance,preserve protocol-defined paths
projects/quantitative_foundation_model_validation/milestones/*/outputs/*,quantitative_foundation_model_validation,report,generated,FM output bundles use protocol-defined stable names,regenerate only from milestone entry point
projects/quantitative_foundation_model_validation/docs/preexperiment_plan/*,quantitative_foundation_model_validation,protocol,frozen,approved P0 plan and session handoff names,preserve paths
projects/quantitative_foundation_model_validation/docs/surveys/QUANTITATIV_AI_SURVEY.md,quantitative_foundation_model_validation,survey,legacy,historical misspelled survey filename referenced by records,no new references; supersede with canonical survey when revised
projects/precise_pni_candidate_triage/docs/pathologist_protocol/*,precise_pni_candidate_triage,protocol,frozen,clinician-facing fixed identifiers,preserve approved handoff paths
projects/precise_pni_candidate_triage/docs/plans/2026-08-05-precise-pni-frozen-score-audit.md,precise_pni_candidate_triage,plan,frozen,approved historical plan predates plan suffix and metadata rule,preserve path
projects/precise_pni_candidate_triage/docs/plans/2026-08-06-precise-pni-morphology-rereview.md,precise_pni_candidate_triage,plan,frozen,approved historical plan predates plan suffix and metadata rule,preserve path
projects/precise_pni_candidate_triage/docs/plans/2026-08-06-precise-pni-pathologist-handoff-memo.md,precise_pni_candidate_triage,plan,frozen,approved historical plan predates plan suffix and metadata rule,preserve path
projects/prostate_biomarker_validation/docs/plans/2026-08-06-stability-grid-aggregation.md,prostate_biomarker_validation,plan,frozen,approved historical plan predates plan suffix and metadata rule,preserve path
projects/prostate_biomarker_validation/docs/plans/2026-08-07-scientific-reports-manuscript-redesign.md,prostate_biomarker_validation,plan,frozen,approved historical plan predates plan suffix and metadata rule,preserve path
infrastructure/migrations/*,repository,migration_record,frozen,closed structural audit and pre/post inventories,never rewrite to satisfy current naming style
infrastructure/packages/vlm_pathology_metrics/SURVEY_KO.md,repository,protocol,frozen,package survey contract predates repository naming policy,preserve path and use canonical names for new package documents
