owner,current_path,current_role,authority_status,parent_document,downstream_documents,referenced_by,immutable_or_external,action,target_path,reason
precise_pni_candidate_triage,projects/precise_pni_candidate_triage/docs/project_plan/01-precise-pni-project-plan-ko.md,research plan,CURRENT,,01-01 research overview; 01-02 milestones,PROJECT.yaml; README; MILESTONES; sequence; docs index,no,KEEP,projects/precise_pni_candidate_triage/docs/project_plan/01-precise-pni-project-plan-ko.md,governing scientific authority
precise_pni_candidate_triage,projects/precise_pni_candidate_triage/docs/project_plan/01-01-pni-research-overview-ko.md,research narrative,SUPPORTING,01-precise-pni-project-plan-ko.md,,docs index,no,KEEP,projects/precise_pni_candidate_triage/docs/project_plan/01-01-pni-research-overview-ko.md,actual subordinate narrative rather than milestone authority
precise_pni_candidate_triage,,milestones,CURRENT,01-precise-pni-project-plan-ko.md,01-02-01 tracker,PROJECT.yaml; README; MILESTONES; sequence; docs index,no,CREATE,projects/precise_pni_candidate_triage/docs/project_plan/01-02-pni-project-milestones-ko.md,separate evidence-gate authority from mixed living plan
precise_pni_candidate_triage,,execution tracker,CURRENT,01-02-pni-project-milestones-ko.md,,PROJECT.yaml; README; MILESTONES; sequence; docs index,no,CREATE,projects/precise_pni_candidate_triage/docs/project_plan/01-02-01-pni-project-execution-tracker-ko.md,record only current status blocker next action and transition gate
precise_pni_candidate_triage,,survey index,CURRENT,01-precise-pni-project-plan-ko.md,,PROJECT.yaml; README; sequence; docs index,no,CREATE,projects/precise_pni_candidate_triage/docs/surveys/README.md,record missing maintainable survey as PLANNED without inventing content
quantitative_foundation_model_validation,projects/quantitative_foundation_model_validation/docs/research_plan/01-quantitative-ai-validation-disease-diagnosis-plan-ko.md,research plan,CURRENT,,01-01 milestones; 01-02 taxonomy,PROJECT.yaml; README; MILESTONES; sequence; docs index,no,KEEP,projects/quantitative_foundation_model_validation/docs/research_plan/01-quantitative-ai-validation-disease-diagnosis-plan-ko.md,governing scientific authority
quantitative_foundation_model_validation,projects/quantitative_foundation_model_validation/docs/research_plan/01-01-foundation-model-quantitative-metric-validation-plan-ko.md,mixed execution and milestone plan,CURRENT,01-quantitative-ai-validation-disease-diagnosis-plan-ko.md,01-01-01 tracker,code; portal; indexes,no,RENAME,projects/quantitative_foundation_model_validation/docs/research_plan/01-01-foundation-model-validation-milestones-ko.md,make the canonical milestone role visible and extract current operations
quantitative_foundation_model_validation,,execution tracker,CURRENT,01-01-foundation-model-validation-milestones-ko.md,,PROJECT.yaml; README; MILESTONES; sequence; docs index,no,CREATE,projects/quantitative_foundation_model_validation/docs/research_plan/01-01-01-foundation-model-validation-execution-tracker-ko.md,record only current status blocker next action and transition gate
quantitative_foundation_model_validation,projects/quantitative_foundation_model_validation/docs/surveys/QUANTITATIV_AI_SURVEY.md,related-work exploration,HISTORICAL,01-quantitative-ai-validation-disease-diagnosis-plan-ko.md,,survey index,legacy fixed path,KEEP,projects/quantitative_foundation_model_validation/docs/surveys/QUANTITATIV_AI_SURVEY.md,preserve misspelled historical provenance and do not claim CURRENT authority
quantitative_foundation_model_validation,,survey index,CURRENT,01-quantitative-ai-validation-disease-diagnosis-plan-ko.md,,PROJECT.yaml; README; sequence; docs index,no,CREATE,projects/quantitative_foundation_model_validation/docs/surveys/README.md,classify historical and planned survey authority
prostate_biomarker_validation,,research plan,CURRENT,,01-01 milestones,PROJECT.yaml; README; MILESTONES; sequence; docs index,no,CREATE,projects/prostate_biomarker_validation/docs/research_plan/01-prostate-biomarker-validation-plan.md,derive governing scope only from existing project and approved design facts
prostate_biomarker_validation,,milestones,CURRENT,01-prostate-biomarker-validation-plan.md,01-01-01 tracker,PROJECT.yaml; README; MILESTONES; sequence; docs index,no,CREATE,projects/prostate_biomarker_validation/docs/research_plan/01-01-prostate-biomarker-validation-milestones.md,establish one evidence-gate refinement authority
prostate_biomarker_validation,,execution tracker,CURRENT,01-01-prostate-biomarker-validation-milestones.md,,PROJECT.yaml; README; MILESTONES; sequence; docs index,no,CREATE,projects/prostate_biomarker_validation/docs/research_plan/01-01-01-prostate-biomarker-validation-execution-tracker.md,record verified current manuscript status and author-controlled blocker
prostate_biomarker_validation,,survey index,CURRENT,01-prostate-biomarker-validation-plan.md,,PROJECT.yaml; README; sequence; docs index,no,CREATE,projects/prostate_biomarker_validation/docs/surveys/README.md,record missing maintainable survey as PLANNED without inventing content
prostate_biomarker_validation,projects/prostate_biomarker_validation/docs/study_design/*,historical study notes,HISTORICAL,,,docs index,legacy fixed paths,REPORT_ONLY,,closed historical narrative is not renamed or promoted
prostate_biomarker_validation,projects/prostate_biomarker_validation/paper/*,manuscript bundle,CURRENT,,,paper configuration,external submission and frozen provenance contracts,REPORT_ONLY,,configuration-owned manuscript names remain stable
