combination_id	disease_id	combination_name_ko	metric_ids	external_components	intended_use_ko	evidence_tier	package_readiness	decision_rule_ko	limitations_ko	reference_ids
C001	prostate_adenocarcinoma	전립선 진단보조 PIN4 유사 panel	spatial.amacr_positive_fraction;spatial.amacr_chromogen_mean;spatial.hmwck_positive_fraction;spatial.hmwck_chromogen_mean	pathologist H&E morphology;clinical AMACR IHC;clinical HMWCK IHC;p63 IHC	애매한 소선관 병변의 전립선 선암 진단 보조	systematic_review_meta_analysis	external_panel_required	H&E 형태가 우선이며 실제 AMACR 양성과 basal-cell marker 소실을 panel로 해석한다; package proxy에 임상 cutoff를 적용하지 않는다	AMACR은 완전 특이적이지 않고 HMWCK/p63도 technical false loss가 가능하다	R001;R002
C002	prostate_pni	고정 PRECISE PNI 후보 triage	candidate.prototype_score;candidate.text_pni_score;candidate.nerve_score;candidate.combined_score;candidate.nms_rank;pni.review_coverage;pni.capture_fraction	pathologist candidate review	슬라이드별 공간적으로 구별된 PNI 후보 검토 우선순위	project_validated_selected_sample	ready_project	0.50/0.35/0.15 고정 결합점수와 원래 NMS를 그대로 사용하고 coverage와 known-positive capture를 함께 보고한다	진단 classifier가 아니며 top-k precision은 budget 전체가 evaluable일 때만 정의한다	R021
C003	prostate_pni	PNI 형태-접촉-거리 profile	morphology.strict_core_evaluability;morphology.category_proportion;contour.nerve_area;contour.nerve_diameter;contour.encasement_fraction;contour.contact_length;contour.distance_gradient	pathologist-approved nerve contour;pathologist-approved cancer-nerve interface	PNI 형태와 interface extent의 구조화 연구	project_validated_selected_sample	deferred_until_contours	형태 label을 먼저 잠근 후 전문의 contour가 승인된 focus에서만 geometry를 계산한다	선택 14건은 형태 분포나 예후를 추정할 수 없다	R019;R022
C004	prostate_grade	전립선 gland-nuclear-texture grade panel	image.lumen_area;image.lumen_solidity;image.lumen_circularity;image.lumen_thickness;spatial.nuclear_density;spatial.texture_contrast;spatial.texture_homogeneity;spatial.texture_entropy;evaluation.spearman_rho;evaluation.quadratic_weighted_kappa	pathologist Gleason/ISUP labels;cribriform annotation	전립선암 detection·grading 연구	single_cohort_or_narrative_review	research_only	환자 분리 학습과 외부 cohort 검증 후 Spearman과 QWK를 함께 평가한다	단순 lumen/texture feature는 Gleason pattern을 정의하지 않으며 scanner/stain confounding이 크다	R004;R005;R020
C005	prostate_recurrence	전립선 재발 risk discrimination-calibration suite	survival.harrell_c_index;survival.time_dependent_auc;survival.integrated_brier_score;survival.predicted_event_probability;survival.km_observed_event_probability;comparison.delta_metric;inference.percentile_bootstrap_ci	locked recurrence endpoint;clinical covariates;patient-level predictions	전립선암 재발 위험모형 평가	project_exploratory	research_only	정확한 endpoint/censoring을 고정하고 discrimination calibration error 및 paired clinical increment를 함께 보고한다	성능지표 조합은 환자 진단도 치료결정 규칙도 아니다	R003;R005;R020
C006	prostate_pten_erg	H&E 기반 PTEN-ERG molecular screening audit	evaluation.cosine_similarity;evaluation.roc_auc;evaluation.spearman_rho;evaluation.r_squared;comparison.delta_metric;inference.percentile_bootstrap_ci	PTEN IHC or genomic truth;ERG IHC/FISH truth;grade covariates;external cohorts	전립선암 PTEN loss·ERG status 연구용 screening	multi_cohort_validation	research_only	환자 단위 외부 AUROC와 heterogeneity correlation 및 grade-adjusted increment를 분리 보고한다	분자검사를 대체하지 않고 subclonal PTEN과 site shift를 따로 검증해야 한다	R006;R007
C007	prostate_ar_activity	AR activity 연속 signal-site audit	evaluation.spearman_rho;evaluation.r_squared;comparison.delta_metric;stability.metric_range;stability.null_crossing_count;quality.missing_fraction	validated AR activity assay;site and scanner metadata	전립선암 AR activity 영상신호 연구	project_exploratory	research_only	pooled correlation과 site별 방향·구간·missingness를 함께 보고한다	현재 프로젝트의 site/scanner separation 문제 때문에 진단 사용 불가	R023
C008	prostate_spop	SPOP 약효과-검출한계 audit	evaluation.roc_auc;inference.minimum_detectable_auroc;stability.chance_or_worse_rate;stability.metric_range;quality.bootstrap_valid_count	validated SPOP mutation labels;adequate tumor sampling	전립선암 SPOP 영상신호 연구 가능성 평가	project_exploratory	unsupported_current_design	AUROC뿐 아니라 MDE와 chance-or-worse 설정 비율 및 undefined bootstrap을 함께 보고한다	frozen primary 결과는 unsupported이며 mutation 진단기로 사용할 수 없다	R023
C009	papillary_renal_cell_carcinoma	유두상 RCC morphology-IHC panel	spatial.amacr_positive_fraction;spatial.amacr_chromogen_mean;image.lumen_area;image.lumen_circularity	clinical AMACR IHC;CK7 IHC;CAIX IHC;TFE3 IHC;renal tumor morphology	papillary/clear feature RCC 감별 진단 보조	single_cohort_or_narrative_review	external_panel_required	AMACR을 형태와 CK7/CAIX/TFE3 panel 안에서 해석하고 단독 양성으로 확정하지 않는다	현재 AMACR proxy는 전립선용이며 renal tissue에 calibration되지 않았다	R017;R018
C010	colorectal_pni	CRC PNI morphology-geometry transfer	morphology.category_proportion;contour.nerve_diameter;contour.encasement_fraction;contour.contact_length;contour.distance_gradient	CRC-specific pathologist review;optional S100/cytokeratin IHC	대장직장암 PNI 검출·extent 연구	systematic_review_meta_analysis	literature_supported_unvalidated_transfer	CRC에서 schema와 contour 재현성을 새로 검증한 뒤 PNI presence와 연속 geometry를 분리 분석한다	예후 관련 문헌이 전립선 모델의 성능 전이를 보장하지 않는다	R008;R019
