metric_id	tier	tier_name	domain	status	name_ko	name_en	analysis_unit	unit_or_scale	source_type	parent_metric_ids	clinical_use	interpretation	evidence_basis
candidate.prototype_score	T4	model_derived	model_output	active	PNI prototype 점수	PNI prototype score	candidate window	0-1	frozen model output	pathology.pni_presence	triage_only	임상 지표가 아니라 고정 후보순위 구성요소	PRECISE frozen-score audit
candidate.text_pni_score	T4	model_derived	model_output	active	Text-PNI 점수	Text-PNI score	candidate window	0-1	frozen model output	pathology.pni_presence	triage_only	임상 지표가 아니라 고정 후보순위 구성요소	PRECISE frozen-score audit
candidate.nerve_score	T4	model_derived	model_output	active	신경 점수	Nerve score	candidate window	0-1	frozen model output	pathology.pni_presence	triage_only	임상 지표가 아니라 고정 후보순위 구성요소	PRECISE frozen-score audit
candidate.component_percentile	T4	model_derived	model_output	active	구성요소 백분위 순위	Component percentile rank	candidate window	0-1	frozen score transform	pathology.pni_presence	triage_only	고정 component score의 후보집합 내 순위	PRECISE frozen-score audit
candidate.combined_score	T4	model_derived	model_output	active	고정 결합점수	Frozen combined score	candidate window	0-1	frozen model output	pathology.pni_presence	triage_only	병리 진단확률이 아닌 후보 triage 점수	PRECISE frozen-score audit
candidate.global_rank	T4	model_derived	model_output	active	전역 후보 순위	Global candidate rank	spatially distinct candidate	positive integer	frozen ranking	pathology.pni_presence	triage_only	전체 후보집합 내 검토 우선순위	PRECISE frozen-score audit
candidate.image_rank	T4	model_derived	model_output	active	슬라이드 내 raw 순위	Within-slide raw rank	candidate window	positive integer	frozen ranking	pathology.pni_presence	triage_only	NMS 전 슬라이드 내 후보순위	PRECISE frozen-score audit
candidate.nms_rank	T4	model_derived	model_output	active	NMS 후 슬라이드 순위	Post-NMS within-slide rank	post-NMS candidate	positive integer	frozen ranking	pathology.pni_presence	triage_only	공간적으로 구별된 후보의 검토순위	PRECISE frozen-score audit
candidate.within_slide_percentile	T4	model_derived	model_output	active	슬라이드 내 백분위	Within-slide percentile	candidate window	0-1	frozen score transform	pathology.pni_presence	triage_only	슬라이드 내부 상대순위이며 임상 cutoff가 아님	PRECISE frozen-score audit
spatial.embedding_pca	T4	model_derived	model_representation	exploratory	임베딩 PCA 좌표	Embedding PCA coordinates	focus embedding	real	model representation transform	pathology.tumor_presence	research_only	시각화·탐색용 저차원 모델 파생값	PRECISE spatial pilot
