use_id	disease_id	disease_name_ko	disease_name_en	metric_ids	clinical_role	evidence_tier	package_readiness	summary_ko	limitations_ko	reference_ids
U001	prostate_adenocarcinoma	전립선 선암	Prostate adenocarcinoma	spatial.amacr_positive_fraction;spatial.amacr_chromogen_mean;spatial.hmwck_positive_fraction;spatial.hmwck_chromogen_mean;image.dab_ring_intensity;image.hematoxylin_ring_intensity	diagnostic_adjuvant	systematic_review_meta_analysis	external_panel_required	실제 AMACR 양성과 basal-cell marker HMWCK/p63 소실은 형태학적으로 애매한 전립선 생검의 진단 보조 panel에 사용된다	현재 패키지 값은 HSV/chromogen proxy이며 임상 IHC scoring이 아니다; H&E 형태와 실제 p63/HMWCK/AMACR assay 및 전문의 판독이 필요하다	R001;R002
U002	prostate_pni	전립선암 신경주위침윤	Perineural invasion in prostate cancer	candidate.prototype_score;candidate.text_pni_score;candidate.nerve_score;candidate.component_percentile;candidate.combined_score;candidate.nms_rank;pni.capture_fraction;pni.review_coverage;pni.top_k_precision	candidate_triage	project_validated_selected_sample	ready_project	고정 CONCH 결합점수와 spatial NMS는 PRECISE에서 병리 검토 후보를 순위화하는 데 사용할 수 있다	선택된 120후보 audit이며 whole-slide PNI 진단·민감도·임상 threshold가 아니다	R003;R021
U003	prostate_pni	전립선암 신경주위침윤	Perineural invasion in prostate cancer	morphology.form_completeness;morphology.evaluable_pni_status;morphology.strict_core_evaluability;morphology.category_proportion;morphology.transition_count;contour.nerve_area;contour.nerve_diameter;contour.aspect_ratio;contour.encasement_fraction;contour.contact_length;contour.distance_gradient	histopathology_annotation	project_validated_selected_sample	deferred_until_contours	PNI relation·방향·추적·branch·nerve multiplicity와 향후 접촉·포위·거리 지표를 구조화할 수 있다	14개 선택 focus의 방법개발이며 contour 지표는 전문의 경계 승인 전 계산 금지	R003;R019;R022
U004	prostate_grade	전립선암 Gleason/ISUP grade	Prostate cancer Gleason and ISUP grade	image.lumen_area;image.lumen_solidity;image.lumen_circularity;image.lumen_thickness;image.lumen_candidate_density;spatial.nuclear_density;spatial.texture_contrast;spatial.texture_homogeneity;spatial.texture_entropy;evaluation.spearman_rho;evaluation.quadratic_weighted_kappa	grading_risk_feature	single_cohort_or_narrative_review	research_only	gland/lumen architecture와 nuclear·texture 특징은 전립선암 검출과 grading 연구에 사용될 수 있다	현재 단순 lumen detector는 Gleason pattern 또는 cribriform을 직접 진단하지 않으며 외부 다기관 검증이 필요하다	R004;R005;R020
U005	prostate_recurrence	전립선암 생화학적 재발 위험	Prostate cancer biochemical recurrence risk	survival.harrell_c_index;survival.time_dependent_auc;survival.mean_auc_1_to_5y;survival.integrated_brier_score;survival.predicted_event_probability;survival.km_observed_event_probability;comparison.delta_metric	prognostic_stratification	project_exploratory	research_only	전립선암 영상·임상 risk model의 recurrence discrimination와 calibration을 평가하는 데 사용된다	성능지표 자체가 환자를 진단하지 않으며 endpoint와 censoring 및 외부 validation이 필수다	R003;R005;R020
U006	prostate_pten_erg	전립선암 PTEN/ERG 상태	Prostate cancer PTEN and ERG status	evaluation.cosine_similarity;evaluation.roc_auc;evaluation.spearman_rho;evaluation.r_squared;comparison.delta_metric;inference.percentile_bootstrap_ci	molecular_screening	multi_cohort_validation	research_only	H&E 기반 표현에서 PTEN loss와 ERG status를 screening하는 연구가 multi-cohort에서 보고됐다	IHC/FISH/분자검사를 대체하지 않으며 grade·site confounding과 intratumoral heterogeneity를 검증해야 한다	R006;R007
U007	prostate_ar_activity	전립선암 androgen-receptor activity	Prostate cancer androgen-receptor activity	evaluation.spearman_rho;evaluation.r_squared;comparison.delta_metric;inference.percentile_bootstrap_ci;stability.metric_range;stability.null_crossing_count	molecular_screening	project_exploratory	research_only	H&E foundation-model signal과 AR activity의 연속 연관성을 연구용으로 평가할 수 있다	현재 프로젝트에서 site/scanner 분리가 해결되지 않아 진단 또는 보편적 biomarker로 사용할 수 없다	R023
U008	prostate_spop	전립선암 SPOP mutation	Prostate cancer SPOP mutation	evaluation.roc_auc;inference.minimum_detectable_auroc;stability.chance_or_worse_rate;stability.metric_range;quality.missing_fraction	molecular_screening	project_exploratory	unsupported_current_design	SPOP 영상신호의 이진 discrimination과 소표본 검출한계 및 설정 민감도를 감사할 수 있다	현재 frozen primary configuration은 unsupported이고 SPOP mutation 진단에 사용할 수 없다	R023
U009	papillary_renal_cell_carcinoma	유두상 신세포암	Papillary renal cell carcinoma	spatial.amacr_positive_fraction;spatial.amacr_chromogen_mean;image.lumen_area;image.lumen_circularity	diagnostic_adjuvant	single_cohort_or_narrative_review	external_panel_required	실제 AMACR IHC는 papillary RCC 감별 panel의 한 구성요소로 사용될 수 있다	AMACR 단독은 특이하지 않고 현재 전립선 serial-section proxy는 신장조직에 검증되지 않았다; CK7 CAIX TFE3 등 외부 panel이 필요하다	R017;R018
U010	colorectal_pni	대장직장암 신경주위침윤	Perineural invasion in colorectal cancer	morphology.category_proportion;contour.nerve_area;contour.nerve_diameter;contour.encasement_fraction;contour.contact_length;contour.distance_gradient	prognostic_stratification	systematic_review_meta_analysis	literature_supported_unvalidated_transfer	대장직장암 PNI는 재발·생존과 연관된 고위험 병리 특징이며 연속 nerve-interface 지표는 연구 후보가 될 수 있다	이 패키지의 전립선 기반 판독 schema와 contour 정의는 CRC에 이전 검증되지 않았고 PNI는 암 진단 자체가 아니다	R008;R019
U011	colorectal_pni_prediction	대장직장암 PNI 예측	Prediction of colorectal cancer PNI	spatial.texture_contrast;spatial.texture_homogeneity;spatial.texture_entropy;spatial.nuclear_density;evaluation.roc_auc;inference.percentile_bootstrap_ci	candidate_triage	systematic_review_meta_analysis	research_only	texture/radiomics 조합은 CRC PNI 예측 연구에 사용돼 왔다	현재 지표는 H&E ROI 기반이며 published radiomics modality와 동일하지 않고 독립 validation 전 임상 사용 불가	R009
U012	pancreatic_pni	췌관 선암 신경침윤	Neural invasion in pancreatic ductal adenocarcinoma	morphology.category_proportion;contour.nerve_area;contour.nerve_diameter;contour.encasement_fraction;contour.contact_length;contour.distance_gradient	prognostic_stratification	systematic_review_meta_analysis	literature_supported_unvalidated_transfer	PDAC neural invasion은 생존·재발과 연관되어 구조화 검출과 공간 정량의 중요한 연구대상이다	전립선용 prompt·모델·window를 PDAC에 직접 적용할 수 없고 암종별 nerve plexus 문맥이 필요하다	R013;R019
U013	head_neck_squamous_cell_carcinoma	두경부 편평상피암	Head and neck squamous cell carcinoma	morphology.category_proportion;contour.nerve_diameter;contour.encasement_fraction;contour.contact_length;contour.distance_gradient	prognostic_stratification	systematic_review_meta_analysis	literature_supported_unvalidated_transfer	HNSCC PNI는 adverse survival과 관련되므로 nerve size·위치·접촉을 구조화할 연구 근거가 있다	site와 HPV 상태가 이질적이며 이 패키지는 두경부 조직에서 검증되지 않았다	R010;R019
U014	oral_squamous_cell_carcinoma	구강 편평상피암	Oral squamous cell carcinoma	morphology.category_proportion;contour.nerve_diameter;contour.encasement_fraction;contour.contact_length;contour.distance_gradient	prognostic_stratification	systematic_review_meta_analysis	literature_supported_unvalidated_transfer	OSCC에서 PNI와 tumor-nerve distance는 예후 연구의 병리·공간 특징이다	고전 PNI와 근접효과를 구분해야 하며 연속 threshold는 독립 검증 없이 임상 결정에 사용할 수 없다	R011;R019
U015	adenoid_cystic_carcinoma	선양낭성암	Adenoid cystic carcinoma	morphology.category_proportion;contour.nerve_diameter;contour.encasement_fraction;contour.contact_length;contour.distance_gradient	prognostic_stratification	systematic_review_meta_analysis	literature_supported_unvalidated_transfer	신경친화성이 높은 adenoid cystic carcinoma에서 PNI 형태와 extent는 예후 연구 대상이다	전립선 기반 schema의 외부 타당성이 없으며 salivary-gland 전문 판독이 필요하다	R012
U016	gastric_pni	위선암 신경주위침윤	Perineural invasion in gastric adenocarcinoma	morphology.category_proportion;contour.encasement_fraction;contour.contact_length;contour.distance_gradient	prognostic_stratification	systematic_review_meta_analysis	literature_supported_unvalidated_transfer	위암 PNI는 불리한 병리 특징 및 생존과 연관된다	위암 진단용 지표가 아니며 현재 package contour는 위암에서 검증되지 않았다	R014
U017	cholangiocarcinoma_pni	담관암 신경주위침윤	Perineural invasion in cholangiocarcinoma	morphology.category_proportion;contour.nerve_diameter;contour.encasement_fraction;contour.contact_length;contour.distance_gradient	prognostic_stratification	systematic_review_meta_analysis	literature_supported_unvalidated_transfer	담관암 PNI는 adverse outcome과 연관된 병리 특징으로 정량화 연구 가치가 있다	높은 연구 이질성과 해부학적 subtype 차이가 있으며 현재 package는 미검증이다	R015
U018	cutaneous_squamous_cell_carcinoma_pni	피부 편평상피암 신경주위침윤	Perineural invasion in cutaneous squamous cell carcinoma	morphology.category_proportion;contour.nerve_diameter;contour.contact_length;contour.distance_gradient	prognostic_stratification	systematic_review_meta_analysis	literature_supported_unvalidated_transfer	cSCC PNI는 recurrence·metastasis의 고위험 병리 특징으로 보고됐다	clinical PNI와 incidental microscopic PNI를 구분해야 하며 전립선 schema는 검증되지 않았다	R016
U019	general_histopathology	범용 디지털 병리	General computational histopathology	spatial.nuclear_density;spatial.texture_contrast;spatial.texture_homogeneity;spatial.texture_entropy;image.lumen_area;image.lumen_solidity;image.lumen_circularity;evaluation.cosine_similarity;evaluation.embedding_outlier_score	research_feature	methodological_only	research_only	nuclear·texture·gland·embedding 특징은 다양한 질환 분류 모델의 입력 후보가 될 수 있다	질병 비특이적이며 질병별 ground truth 학습·외부 validation 없이는 진단 의미가 없다	R004;R020
