metric_id	domain	status	name_ko	name_en	analysis_unit	null_or_range	formula	interpretation	source_paths
candidate.labeled_fraction	candidate_generation	active	라벨 영역 분율	Labeled-mask fraction	candidate window	[0,1]	non-background mask pixels / sampled pixels	전문의 마스크가 존재하는 면적 비율	projects/precise_pni_candidate_triage/code/candidate_visualization/pilot_precise_pni_candidates.py;resources/data/shared/opendataset/PRECISE/pni_candidate_full/all_candidate_scores.csv
candidate.mask_priority	candidate_generation	active	마스크 우선순위	Mask boundary priority	candidate window	unbounded	2*min(tumor,max(stroma,0.02))+0.35*stroma+0.1*labeled	종양-기질 혼합 경계를 우선하는 후보 열거 점수	projects/precise_pni_candidate_triage/code/candidate_visualization/pilot_precise_pni_candidates.py
candidate.rgb_tissue_fraction	candidate_generation	active	RGB 조직 분율	RGB tissue fraction	candidate window	[0,1]	non-white H&E proxy pixels / all pixels	백색 배경이 많은 창을 제외하는 품질 필터	projects/precise_pni_candidate_triage/code/candidate_visualization/pilot_precise_pni_candidates.py;resources/data/shared/opendataset/PRECISE/pni_candidate_full/all_candidate_scores.csv
pni.capture_fraction	pni_audit	active	양성 focus 포착률	Known-positive capture fraction	endpoint and per-slide budget k	[0,1]	captured evaluable reviewed positives at rank<=k / all evaluable reviewed positives	선택된 120건에서 관찰된 양성 focus 집중도이며 whole-slide sensitivity가 아니다	projects/precise_pni_candidate_triage/code/frozen_score_audit/audit_precise_pni_frozen_scores.py;resources/data/shared/opendataset/PRECISE/pni_frozen_score_audit/review_budget_capture.csv
pni.review_coverage	pni_audit	active	검토 라벨 커버리지	Review-label coverage	endpoint and per-slide budget k	[0,1]	evaluable reviewed candidates in budget / all post-NMS candidates in budget	미판독 후보를 음성으로 바꾸지 않았음을 보여주는 지표	projects/precise_pni_candidate_triage/code/frozen_score_audit/audit_precise_pni_frozen_scores.py;resources/data/shared/opendataset/PRECISE/pni_frozen_score_audit/review_budget_capture.csv
pni.top_k_precision	pni_audit	active	Top-k 정밀도	Top-k precision	endpoint and per-slide budget k	[0,1] or undefined	captured positives / all budget candidates only if every budget candidate is evaluable	coverage가 완전하지 않으면 반드시 undefined이다	projects/precise_pni_candidate_triage/code/frozen_score_audit/audit_precise_pni_frozen_scores.py;tests/test_precise_pni_frozen_score_audit.py
pni.stratum_yield	pni_audit	active	선정 층별 양성 수율	PNI or nerve yield by review stratum	review stratum	[0,1]	evaluable positives / evaluable reviewed candidates in stratum	층화된 120건 내부의 기술적 수율이며 모집단 유병률이 아니다	projects/precise_pni_candidate_triage/code/frozen_score_audit/audit_precise_pni_frozen_scores.py;resources/data/shared/opendataset/PRECISE/pni_frozen_score_audit/subtype_and_stratum_summary.csv
pni.subtype_capture	pni_audit	active	PNI subtype 포착률	PNI subtype capture	PNI subtype and budget k	[0,1]	captured touching or surrounding positives / all evaluable reviewed positives of subtype	선택된 표본의 touching과 surrounding을 분리한 포착 요약	projects/precise_pni_candidate_triage/code/frozen_score_audit/audit_precise_pni_frozen_scores.py
pni.score_roc_auc	pni_audit	active	후보 점수 ROC-AUC	Candidate-level ROC AUC	reviewed evaluable candidate	0.5 chance; [0,1]	P(score_positive>score_negative)+0.5*P(tie)	층화 검토표본에만 적용하며 후보 모집단 진단성능이 아니다	projects/precise_pni_candidate_triage/code/frozen_score_audit/audit_precise_pni_frozen_scores.py;resources/data/shared/opendataset/PRECISE/pni_frozen_score_audit/score_metric_summary.csv
pni.score_average_precision	pni_audit	active	후보 점수 평균정밀도	Candidate-level average precision	reviewed evaluable candidate	prevalence baseline; [0,1]	weighted mean of precision over recall increments	층화 검토표본에만 적용하고 한 outcome class만 있으면 undefined	projects/precise_pni_candidate_triage/code/frozen_score_audit/audit_precise_pni_frozen_scores.py;resources/data/shared/opendataset/PRECISE/pni_frozen_score_audit/score_metric_summary.csv
pni.exact_binomial_ci	pni_audit	active	정확 이항 신뢰구간	Exact binomial confidence interval	simple observed proportion	[0,1]	two-sided Clopper-Pearson beta-quantile interval	작은 양성 수의 단순 관찰 비율 불확실성	projects/precise_pni_candidate_triage/code/frozen_score_audit/audit_precise_pni_frozen_scores.py
